rec_id,lig_code,smiles,BM_scaffold,BM_scaffold_canon,scaffold_index,cluster_label
3q25_1.pdb_3q25_1_GLC_B.pdb,GLC,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,C1CCOCC1,C1CCOCC1,17,
1xh2_1.pdb_1xh2_1_ARE_C.pdb,ARE,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]3C=C(CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,C1=C[C@H](N[C@H]2CC[C@@H](O[C@H]3CCCOC3)OC2)CC[C@@H]1O[C@@H]1CC[C@H](O[C@@H]2CCCCO2)CO1,C1=CC(OC2CCC(OC3CCCCO3)CO2)CCC1NC1CCC(OC2CCCOC2)OC1,18,94.0
3e7o_2.pdb_3e7o_2_35F_C.pdb,35F,O=C(Nc1cccc(c1)c2n[nH]c3ccc(cc23)c4n[nH]cn4)c5occc5,O=C(Nc1cccc(-c2n[nH]c3ccc(-c4nc[nH]n4)cc23)c1)c1ccco1,O=C(Nc1cccc(-c2n[nH]c3ccc(-c4nc[nH]n4)cc23)c1)c1ccco1,19,133.0
4ibf_2.pdb_4ibf_2_1D5_D.pdb,1D5,OC(=O)Cc1ccc(cc1)N2[C@@H](c3scc(Br)c3)C(=C(O)C2=O)C(=O)c4sc(Cl)cc4,O=C(C1=CC(=O)N(c2ccccc2)[C@H]1c1cccs1)c1cccs1,O=C(C1=CC(=O)N(c2ccccc2)C1c1cccs1)c1cccs1,20,111.0
3otk_1.pdb_3otk_1_UDP_K.pdb,UDP,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,O=c1ccn(C2CCCO2)c(=O)[nH]1,1,
7mdc_1.pdb_7mdc_1_YX7_J.pdb,YX7,CCCCCC(=O)N[C@H](CC(N)=O)B(O)O,,,0,4.0
4q0k_1.pdb_4q0k_1_GA3_B.pdb,GA3,C[C@]12[C@@H](O)C=C[C@@]3(OC1=O)[C@@H]4CC[C@]5(O)C[C@]4(CC5=C)[C@H]([C@H]23)C(O)=O,C=C1C[C@]23CC1CC[C@H]2[C@@]12C=CCC(C(=O)O1)[C@H]2C3,C=C1CC23CC1CCC2C12C=CCC(C(=O)O1)C2C3,21,79.0
1xcj_1.pdb_1xcj_1_SAH_B.pdb,SAH,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23)C(O)=O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,121.0
8jpe_1.pdb_8jpe_1_GDP_B.pdb,GDP,NC1=Nc2n(cnc2C(=O)N1)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,O=c1[nH]cnc2c1ncn2C1CCCO1,6,13.0
7x0r_2.pdb_7x0r_2_GMP_I.pdb,GMP,NC1=Nc2n(cnc2C(=O)N1)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,O=c1[nH]cnc2c1ncn2C1CCCO1,6,
5f9e_1.pdb_5f9e_1_5VS_C.pdb,5VS,CC1(C)NC(=O)c2ccc(cc2N1Cc3ccccc3)N4C(=O)Nc5ncccc45,O=C1NCN(Cc2ccccc2)c2cc(-n3c(=O)[nH]c4ncccc43)ccc21,O=C1NCN(Cc2ccccc2)c2cc(-n3c(=O)[nH]c4ncccc43)ccc21,22,154.0
6mv1_1.pdb_6mv1_1_FAD_B.pdb,FAD,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)n5cnc6c(N)ncnc56)c2cc1C,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)c3ccccc3nc-2c(=O)[nH]1,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)c3ccccc3nc-2c(=O)[nH]1,4,123.0
